IBEX 35 (IBEX);Ferrovial;459;29,850;29,710;29,950;2023-08-14
IBEX 35 (IBEX);Fluidra SA;32285;21,140;20,900;21,400;2023-08-14
IBEX 35 (IBEX);Grifols;458;13,290;13,055;13,330;2023-08-14
IBEX 35 (IBEX);IAG;13809;1,935;1,913;1,938;2023-08-14
IBEX 35 (IBEX);Iberdrola;463;10,880;10,845;10,930;2023-08-14
IBEX 35 (IBEX);Inditex;461;33,560;33,260;33,630;2023-08-14
IBEX 35 (IBEX);Indra;465;13,340;13,240;13,360;2023-08-14
IBEX 35 (IBEX);Inmob colonial;9060;5,525;5,495;5,565;2023-08-14
IBEX 35 (IBEX);Laboratorios Farmaceuticos ROVI SA;32178;47,540;47,380;48,060;2023-08-14
IBEX 35 (IBEX);Logista;104388;25,06;25,02;25,20;2023-08-14
IBEX 35 (IBEX);Mapfre;466;1,894;1,880;1,898;2023-08-14
IBEX 35 (IBEX);Melia Hotels International SA;32188;6,280;6,270;6,335;2023-08-14
IBEX 35 (IBEX);Merlin Properties SA;102931;8,280;8,230;8,350;2023-08-14
IBEX 35 (IBEX);Naturgy Energy;456;26,200;26,120;26,300;2023-08-14
IBEX 35 (IBEX);Red Electrica;460;15,000;14,985;15,100;2023-08-14
IBEX 35 (IBEX);Repsol;462;13,855;13,805;13,990;2023-08-14
IBEX 35 (IBEX);Sacyr Valle;472;2,966;2,954;2,984;2023-08-14
IBEX 35 (IBEX);Santander;474;3,5965;3,5805;3,6320;2023-08-14
IBEX 35 (IBEX);Solaria Energia y Medio Ambiente;32180;13,500;13,385;13,660;2023-08-14
IBEX 35 (IBEX);Telefonica;469;3,6500;3,6300;3,6590;2023-08-14
IBEX 35 (IBEX);Unicaja Banco;1013395;1,039;1,008;1,047;2023-08-14
PSI (PSI20);Altri;428;4,220;4,200;4,230;2023-08-15
PSI (PSI20);BCP;430;0,2450;0,2437;0,2464;2023-08-15
PSI (PSI20);Corticeira Amorim;15156;10,08;10,00;10,08;2023-08-15
PSI (PSI20);CTT Correios de Portugal SA;49929;3,41;3,40;3,45;2023-08-15
PSI (PSI20);EDP Renováveis;14606;16,72;16,58;17,03;2023-08-15
PSI (PSI20);Energias de Portugal;424;4,125;4,105;4,178;2023-08-15
PSI (PSI20);Galp Energia;421;12,02;11,97;12,19;2023-08-15
PSI (PSI20);Greenvolt Energias Renovaveis;1174982;6,160;6,140;6,260;2023-08-15
PSI (PSI20);Ibersol Reg;15165;6,66;6,62;6,72;2023-08-15
PSI (PSI20);Jeronimo Martins;423;24,12;24,04;24,38;2023-08-15
PSI (PSI20);Mota-Engil;433;2,435;2,410;2,470;2023-08-15
PSI (PSI20);Nos SGPS SA;13807;3,30;3,28;3,32;2023-08-15
PSI (PSI20);REN;434;2,445;2,445;2,465;2023-08-15
PSI (PSI20);Semapa;437;12,92;12,88;12,96;2023-08-15
PSI (PSI20);Sonae;439;0,9560;0,9540;0,9645;2023-08-15
PSI (PSI20);The Navigator;431;3,202;3,182;3,220;2023-08-15
DAX (GDAXI);Adidas;348;179,74;177,08;182,78;2023-08-15
DAX (GDAXI);Airbus Group;962988;128,88;128,56;130,70;2023-08-15
DAX (GDAXI);Allianz;347;221,25;219,45;224,65;2023-08-15
DAX (GDAXI);BASF;345;45,645;45,525;46,370;2023-08-15
DAX (GDAXI);Bayer;346;51,87;51,63;52,62;2023-08-15
DAX (GDAXI);Beiersdorf;6283;120,900;119,750;122,100;2023-08-15
DAX (GDAXI);BMW;652;99,210;98,830;100,320;2023-08-15
DAX (GDAXI);Brenntag AG;14145;71,460;71,340;72,200;2023-08-15
DAX (GDAXI);Commerzbank;358;10,095;10,055;10,200;2023-08-15
DAX (GDAXI);Continental;353;66,90;66,54;67,48;2023-08-15
DAX (GDAXI);Covestro;958839;48,150;47,910;49,250;2023-08-15
DAX (GDAXI);Daimler Truck Holding;1181372;33,90;33,58;34,07;2023-08-15
DAX (GDAXI);Deutsche Bank;352;9,920;9,870;10,038;2023-08-15
DAX (GDAXI);Deutsche Borse;359;168,500;167,950;170,250;2023-08-15
DAX (GDAXI);Deutsche Post;354;43,560;43,230;44,020;2023-08-15
DAX (GDAXI);Deutsche Tel.;656;18,964;18,836;19,086;2023-08-15
DAX (GDAXI);Dr Ing hc F Porsche Prf;1194617;103,70;103,05;104,95;2023-08-15
DAX (GDAXI);E.ON;9251;10,960;10,955;11,190;2023-08-15
DAX (GDAXI);Fresenius SE;6284;29,990;29,820;30,180;2023-08-15
DAX (GDAXI);Hannover Rueckversicherung AG;6298;197,90;195,95;199,60;2023-08-15
DAX (GDAXI);Heidelbergcement;6334;76,640;75,740;76,700;2023-08-15
